method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,is_social_interaction,social_bout_number,time_from_social_onset_s,time_from_social_offset_s
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,38,265.79977599999984,2.9479785322901373,True,3.0,5.052775999999824,-1.4092240000001652
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,39,266.3997760000002,2.46964139514202,True,3.0,5.652776000000188,-0.8092239999998014
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,40,286.1597760000004,2.490050800004173,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,41,287.7597759999999,2.3718223789064514,False,,,
rolling_60s,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,42,296.8397759999998,3.5751517924191085,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,1,0.4399999999995998,3.4445479144003217,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,2,1.1599999999998545,2.6612941121316975,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,3,5.319999999999709,2.492098271476943,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,4,8.55999999999949,2.789095580389785,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,5,9.920000000000073,4.20301508942449,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,6,14.599999999999454,2.2972696829086257,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,7,17.88000000000011,2.2846905385311764,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,8,21.0,3.3830300879850594,False,,,
