week,mouse_id,condition,behavior,duration_s,bin_index,bin_label,bout_onset_s
Preinduction,584,Novel,Novel_interaction,0.8000000000174623,1,2.5-5.0min,285.92012800000157
Preinduction,584,Novel,Novel_interaction,2.080000000045402,1,2.5-5.0min,290.8801280000007
Preinduction,584,Novel,Social_interaction,1.6400000000357977,0,0.0-2.5min,36.839968000000226
Preinduction,584,Novel,Social_interaction,4.600000000100408,0,0.0-2.5min,54.75996800000212
Preinduction,584,Novel,Social_interaction,4.440000000096916,0,0.0-2.5min,143.59996800000226
Preinduction,584,Novel,Social_interaction,4.760000000103901,1,2.5-5.0min,152.2400000000016
Preinduction,584,Novel,Social_interaction,3.3600000000733417,1,2.5-5.0min,159.15999999999985
Preinduction,450,Hab,Novel_interaction,3.2400000000707223,0,0.0-2.5min,66.76006400000188
Preinduction,450,Hab,Novel_interaction,2.400000000052387,0,0.0-2.5min,71.8400959999999
Preinduction,450,Hab,Novel_interaction,5.480000000119617,1,2.5-5.0min,172.92009600000165
Preinduction,450,Hab,Social_interaction,2.6400000000576256,0,0.0-2.5min,36.48003200000312
Preinduction,450,Hab,Social_interaction,0.7200000000157161,0,0.0-2.5min,40.640032000002975
Preinduction,450,Hab,Social_interaction,3.0400000000663567,0,0.0-2.5min,82.8400959999999
Preinduction,450,Hab,Social_interaction,0.7600000000165892,0,0.0-2.5min,99.24009600000136
Preinduction,450,Hab,Social_interaction,2.2800000000497676,0,0.0-2.5min,119.60009600000194
Preinduction,450,Social,Novel_interaction,4.920000000107393,0,0.0-2.5min,94.44003199999861
Preinduction,450,Social,Novel_interaction,5.120000000111759,1,2.5-5.0min,202.8400959999999
Preinduction,450,Social,Novel_interaction,1.2000000000261934,1,2.5-5.0min,209.36009600000034
Preinduction,450,Social,Novel_interaction,3.3200000000724685,1,2.5-5.0min,211.8400959999999
Preinduction,450,Social,Novel_interaction,1.8000000000392902,1,2.5-5.0min,221.04012800000055
Preinduction,450,Social,Social_interaction,14.160000000309083,0,0.0-2.5min,17.0
Preinduction,450,Social,Social_interaction,2.9200000000637374,0,0.0-2.5min,36.160031999999774
Preinduction,450,Social,Social_interaction,5.680000000123982,0,0.0-2.5min,39.8800319999973
Preinduction,450,Social,Social_interaction,1.8400000000401633,0,0.0-2.5min,52.64003199999934
Preinduction,450,Social,Social_interaction,11.080000000241853,0,0.0-2.5min,61.80003199999919
Preinduction,450,Social,Social_interaction,2.8800000000628643,0,0.0-2.5min,74.00003199999992
Preinduction,450,Social,Social_interaction,7.360000000160653,0,0.0-2.5min,135.20006400000057
Preinduction,450,Social,Social_interaction,4.160000000090804,0,0.0-2.5min,146.5600639999975
Preinduction,450,Social,Social_interaction,4.800000000104774,1,2.5-5.0min,158.64006399999926
Preinduction,450,Social,Social_interaction,3.0400000000663567,1,2.5-5.0min,164.72006399999736
Preinduction,450,Social,Social_interaction,1.3200000000288128,1,2.5-5.0min,240.56012799999735
Preinduction,450,Social,Social_interaction,9.160000000199943,1,2.5-5.0min,242.7201279999972
Preinduction,450,Social,Social_interaction,3.0000000000654836,1,2.5-5.0min,296.88019200000053
Preinduction,450,Novel,Novel_interaction,3.440000000075088,0,0.0-2.5min,22.880064000000857
Preinduction,450,Novel,Novel_interaction,8.60000000018772,0,0.0-2.5min,71.52019199999995
Preinduction,450,Novel,Novel_interaction,0.7200000000157161,1,2.5-5.0min,188.00038399999903
Preinduction,450,Novel,Novel_interaction,2.2800000000497676,1,2.5-5.0min,270.76054400000066
Preinduction,450,Novel,Novel_interaction,0.8800000000192085,1,2.5-5.0min,279.6005440000008
Preinduction,450,Novel,Social_interaction,1.0000000000218279,1,2.5-5.0min,161.64035199999853
Preinduction,450,Novel,Social_interaction,2.0000000000436557,1,2.5-5.0min,168.72035200000028
Preinduction,450,Novel,Social_interaction,4.800000000104774,1,2.5-5.0min,215.72044800000003
Preinduction,597,Hab,Social_interaction,3.160000000068976,0,0.0-2.5min,62.120128000002296
Preinduction,597,Hab,Social_interaction,3.160000000068976,1,2.5-5.0min,153.96035200000188
