method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_SD,threshold_z,trial_duration_s,interaction_duration_s,outside_interaction_duration_s,n_interaction_bouts
static_trial_SD,W1__ID566_NE__3CT_FP8_3__3CT_W1_C3-Trial____11,566,NE,Novel,W1,Outside_interaction,270.6801919999997,20,0.07388793340297328,4.433276004178397,3.400132848305786,3.217626780174055,1.339188604637093,2.678377209274186,299.84019199999966,29.159999999999997,270.6801919999997,7
static_trial_SD,W2__ID566_NE__3CT_FP8_3__3CT_W2_C3-Trial____10,566,NE,Novel,W2,Outside_interaction,212.02019199999978,20,0.094330638093187,5.65983828559122,2.8820036818811747,2.7222849852636215,1.0711286433105076,2.142257286621015,299.84019199999966,87.8199999999999,212.02019199999978,14
static_trial_SD,Preinduction__ID580_NE__3CT_FP12_3__3CT_Preinduction_C3-Trial____14,580,NE,Novel,Preinduction,Outside_interaction,282.1599360000003,27,0.09569041013675297,5.741424608205178,2.8250545573134977,2.719577805717847,0.9332940640458557,1.8665881280917114,299.8399360000003,17.679999999999993,282.1599360000003,4
static_trial_SD,W1__ID580_NE__3CT_FP11_3__3CT_W1_C3-Trial____14,580,NE,Novel,W1,Outside_interaction,277.8203520000001,31,0.11158289800165536,6.6949738800993215,2.9683876849600574,2.6964880276015917,0.9402802904629197,1.8805605809258394,299.88035200000013,22.060000000000002,277.8203520000001,4
static_trial_SD,W2__ID580_NE__3CT_FP11_3__3CT_W2_C3-Trial____13,580,NE,Novel,W2,Outside_interaction,285.3403520000011,35,0.12266053418199985,7.359632050919991,2.811681968556668,2.5576806923908117,0.9803687552890183,1.9607375105780367,299.8403520000011,14.499999999999986,285.3403520000011,8
static_trial_SD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,Outside_interaction,283.1337759999998,37,0.13068027602612847,7.840816561567708,3.0621979900545666,2.9479785322901373,0.9898831007600358,1.9797662015200717,299.8397759999998,16.706000000000017,283.1337759999998,4
static_trial_SD,W1__ID588_NE__3CT_FP2_3__3CT_W1_C3-Trial_____4,588,NE,Novel,W1,Outside_interaction,278.61984000000007,24,0.08613887654231657,5.168332592538994,2.7188835725714795,2.618970868735469,0.9903497488333499,1.9806994976666998,299.8398400000001,21.220000000000027,278.61984000000007,6
static_trial_SD,W2__ID588_NE__3CT_FP2_3__3CT_W2_C3-Trial_____4,588,NE,Novel,W2,Outside_interaction,257.8400959999999,35,0.13574304595356657,8.144582757213994,2.595768236183358,2.4212668563719215,0.9779287795038201,1.9558575590076401,299.88009599999987,42.03999999999998,257.8400959999999,7
static_trial_SD,Preinduction__ID590_NE__3CT_FP5_3__3CT_Preinduction_C3-Trial_____7,590,NE,Novel,Preinduction,Outside_interaction,239.7002239999987,31,0.1293282062181142,7.7596923730868514,2.4838343252230763,2.186048394499993,0.9396672176643066,1.8793344353286132,299.88022399999863,60.17999999999992,239.7002239999987,7
static_trial_SD,W2__ID590_NE__3CT_FP5_3__3CT_W2_C3-Trial_____7,590,NE,Novel,W2,Outside_interaction,221.05993600000033,21,0.09499686094182154,5.699811656509293,2.4703372044873486,2.2798749904811615,0.9584992811449683,1.9169985622899366,299.87993600000027,78.81999999999995,221.05993600000033,10
static_trial_SD,Preinduction__ID533_NE__3CT_FP21_3__3CT_Preinduction_C3-Trial____23,533,NE,Social,Preinduction,Interaction,9.66,6,0.6211180124223602,37.26708074534161,4.1155744948259905,3.9812522342904564,0.9473259949399643,1.8946519898799286,299.84051199999885,9.66,290.1805119999988,2
static_trial_SD,W1__ID533_NE__3CT_FP23_3__3CT_W1_C3-Trial____27,533,NE,Social,W1,Interaction,34.84000000000003,15,0.4305396096440869,25.832376578645214,3.6314439981670925,3.60343498244408,1.0227270581417174,2.0454541162834348,299.84035199999926,34.84000000000003,265.0003519999992,8
static_trial_SD,W2__ID533_NE__3CT_FP19_3__3CT_W2_C3-Trial____21,533,NE,Social,W2,Interaction,76.04000000000002,16,0.2104155707522356,12.624934245134137,2.785304046282269,2.3938180106008597,0.887650926352291,1.775301852704582,299.84031999999934,76.04000000000002,223.80031999999932,8
static_trial_SD,Preinduction__ID541_NE__3CT_FP24_3__3CT_Preinduction_C3-Trial____26,541,NE,Social,Preinduction,Interaction,45.699999999999996,11,0.24070021881838077,14.442013129102847,2.718881016318038,2.3696781660830304,0.9511507701998765,1.902301540399753,299.84064000000217,45.699999999999996,254.14064000000218,10
static_trial_SD,W1__ID541_NE__3CT_FP26_3__3CT_W1_C3-Trial____31,541,NE,Social,W1,Interaction,49.92,14,0.28044871794871795,16.826923076923077,3.596382424397595,3.546121815209456,1.0079858740913026,2.015971748182605,299.88006400000086,49.92,249.96006400000084,8
static_trial_SD,W2__ID541_NE__3CT_FP22_3__3CT_W2_C3-Trial____24,541,NE,Social,W2,Interaction,42.18000000000001,14,0.3319108582266476,19.914651493598857,2.9733278853778833,2.6327040885060446,0.9738307175615976,1.9476614351231951,299.8799680000011,42.18000000000001,257.6999680000011,11
static_trial_SD,Preinduction__ID566_NE__3CT_FP8_3__3CT_Preinduction_C3-Trial____10,566,NE,Social,Preinduction,Interaction,104.59999999999994,28,0.26768642447418756,16.061185468451253,2.8508090087729374,2.5035078974635008,1.0073824625862298,2.0147649251724595,299.84003200000006,104.59999999999994,195.24003200000013,17
static_trial_SD,W1__ID566_NE__3CT_FP7_3__3CT_W1_C3-Trial____10,566,NE,Social,W1,Interaction,111.56,17,0.152384367156687,9.14306202940122,2.755143879710592,2.1633529123262267,0.9720366450238961,1.9440732900477922,299.840064,111.56,188.28006399999998,9
static_trial_SD,W2__ID566_NE__3CT_FP7_3__3CT_W2_C3-Trial_____9,566,NE,Social,W2,Interaction,87.96000000000001,15,0.1705320600272851,10.231923601637106,2.6207426133229657,2.384512172619413,0.9691093598599928,1.9382187197199856,299.8402239999996,87.96000000000001,211.88022399999957,7
static_trial_SD,Preinduction__ID580_NE__3CT_FP11_3__3CT_Preinduction_C3-Trial____13,580,NE,Social,Preinduction,Interaction,71.95999999999997,24,0.3335186214563648,20.011117287381886,2.8014958993535113,2.6054757597142695,0.9110980737500491,1.8221961475000983,299.84015999999974,71.95999999999997,227.88015999999976,9
static_trial_SD,W1__ID580_NE__3CT_FP10_3__3CT_W1_C3-Trial____13,580,NE,Social,W1,Interaction,55.93999999999998,21,0.375402216660708,22.52413299964248,2.675852906155597,2.5883343066785534,0.9345371880668973,1.8690743761337947,299.8402879999994,55.93999999999998,243.90028799999942,7
static_trial_SD,W2__ID580_NE__3CT_FP10_3__3CT_W2_C3-Trial____12,580,NE,Social,W2,Interaction,59.82000000000005,15,0.2507522567703107,15.045135406218643,2.785192936542528,2.5452684543099764,0.9344388021459245,1.868877604291849,299.84035199999926,59.82000000000005,240.0203519999992,10
static_trial_SD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,Interaction,26.509000000000015,9,0.33950733713078557,20.370440227847133,3.597860751028765,3.134324170699001,0.9190635134547634,1.838127026909527,299.8396480000001,26.509000000000015,273.3306480000001,3
static_trial_SD,W1__ID588_NE__3CT_FP1_3__3CT_W1_C3-Trial_____3,588,NE,Social,W1,Interaction,27.900000000000034,9,0.3225806451612899,19.354838709677395,3.211193438751829,3.1792834261287135,1.0028174980161895,2.005634996032379,299.83977600000026,27.900000000000034,271.9397760000002,4
static_trial_SD,W2__ID588_NE__3CT_FP1_3__3CT_W2_C3-Trial_____3,588,NE,Social,W2,Interaction,36.27999999999997,15,0.4134509371554579,24.807056229327472,3.436686818158211,3.066878001979112,0.9737589651911404,1.9475179303822807,299.8397439999999,36.27999999999997,263.5597439999999,5
static_trial_SD,Preinduction__ID590_NE__3CT_FP4_3__3CT_Preinduction_C3-Trial_____6,590,NE,Social,Preinduction,Interaction,48.55999999999992,11,0.22652388797364123,13.591433278418474,2.6571026138148452,2.1601014743556965,0.9264722304535247,1.8529444609070493,299.84012800000073,48.55999999999992,251.28012800000081,5
