method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_mean_z,mean_absolute_deviation,threshold_z,n_social_bouts
whole_trial_mean_MAD,Preinduction__ID584_NE__3CT_FP14_3__3CT_Preinduction_C3_check_arena_settings-Trial____16,584,NE,Social,Preinduction,Entire_trial,299.8799680000011,104,0.34680542582957596,20.80832554977456,2.1710555941634797,1.9522159356480964,3.790572076607629e-18,0.7554362907812205,1.1331544361718309,13
whole_trial_mean_MAD,Preinduction__ID584_NE__3CT_FP14_3__3CT_Preinduction_C3_check_arena_settings-Trial____16,584,NE,Social,Preinduction,Social_interaction,91.01999999999998,35,0.38453087233575045,23.07185234014503,2.4428687666970177,2.232865904223238,3.790572076607629e-18,0.7554362907812205,1.1331544361718309,13
whole_trial_mean_MAD,Preinduction__ID584_NE__3CT_FP15_3__3CT_Preinduction_C3_check_arena_settings-Trial____17,584,NE,Novel,Preinduction,Entire_trial,299.8401279999998,93,0.310165289150357,18.609917349021423,2.2955478397745614,1.871296753575627,-1.5164310753850343e-17,0.7162955996855678,1.0744433995283518,5
whole_trial_mean_MAD,Preinduction__ID584_NE__3CT_FP15_3__3CT_Preinduction_C3_check_arena_settings-Trial____17,584,NE,Novel,Preinduction,Social_interaction,18.779999999999966,3,0.1597444089456872,9.584664536741233,1.3196654647720554,1.243891609645366,-1.5164310753850343e-17,0.7162955996855678,1.0744433995283518,5
whole_trial_mean_MAD,Preinduction__ID450_NE__3CT_FP16_3__3CT_Preinduction_C3_check_arena_settings-Trial____18,450,NE,Hab,Preinduction,Entire_trial,299.88019200000053,82,0.27344253534424795,16.406552120654876,1.69652681429498,1.5639024140435107,-1.5162288306430518e-17,0.772208453391117,1.1583126800866754,5
whole_trial_mean_MAD,Preinduction__ID450_NE__3CT_FP16_3__3CT_Preinduction_C3_check_arena_settings-Trial____18,450,NE,Hab,Preinduction,Social_interaction,9.440000000000005,4,0.4237288135593218,25.423728813559308,1.5206867207029664,1.4857081454980803,-1.5162288306430518e-17,0.772208453391117,1.1583126800866754,5
whole_trial_mean_MAD,Preinduction__ID450_NE__3CT_FP18_3__3CT_Preinduction_C3_check_arena_settings-Trial____20,450,NE,Social,Preinduction,Entire_trial,299.84019199999966,87,0.2901545634015606,17.409273804093637,1.6509050319979015,1.57878041643798,-7.582155376925172e-18,0.8079321627210081,1.211898244081512,13
whole_trial_mean_MAD,Preinduction__ID450_NE__3CT_FP18_3__3CT_Preinduction_C3_check_arena_settings-Trial____20,450,NE,Social,Preinduction,Social_interaction,71.54,18,0.25160749231199325,15.096449538719595,1.7370088869646936,1.6024637556995691,-7.582155376925172e-18,0.8079321627210081,1.211898244081512,13
whole_trial_mean_MAD,Preinduction__ID450_NE__3CT_FP19_3__3CT_Preinduction_C3_check_arena_settings-Trial____21,450,NE,Novel,Preinduction,Entire_trial,299.8405759999987,85,0.2834839805003589,17.009038830021534,1.7868807071534654,1.6231014788368785,5.3075087638476207e-17,0.8052690025882839,1.207903503882426,3
whole_trial_mean_MAD,Preinduction__ID450_NE__3CT_FP19_3__3CT_Preinduction_C3_check_arena_settings-Trial____21,450,NE,Novel,Preinduction,Social_interaction,7.78000000000003,2,0.25706940874035894,15.424164524421537,1.6390162468020286,1.6390162468020286,5.3075087638476207e-17,0.8052690025882839,1.207903503882426,3
