trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_min,mean_peak_amp_z,trial_SD,threshold_z,n_interaction_bouts
W1__ID463_WT__3CT_FP5_2__3CT_W1_cohort2_FP-Trial_____7,463,WT,Novel,W1,Outside interaction,281.5199360000003,22,4.688833120507667,2.6362470088893812,0.8825577607653263,1.7651155215306527,7
W1__ID459_NE__3CT_FP7_2__3CT_W1_cohort2_FP-Trial_____9,459,NE,Social,W1,Interaction,23.78000000000002,13,32.80067283431452,2.1049664803148924,0.7472934464723205,1.494586892944641,8
W1__ID459_NE__3CT_FP7_2__3CT_W1_cohort2_FP-Trial_____9,459,NE,Social,W1,Outside interaction,276.1001919999996,29,6.302060086941202,1.9521280610625138,0.7472934464723205,1.494586892944641,8
W1__ID459_NE__3CT_FP8_2__3CT_W1_cohort2_FP-Trial____10,459,NE,Novel,W1,Interaction,12.099999999999994,3,14.876033057851247,2.0288120116982533,0.7544004659915786,1.5088009319831572,4
W1__ID459_NE__3CT_FP8_2__3CT_W1_cohort2_FP-Trial____10,459,NE,Novel,W1,Outside interaction,287.7400000000001,27,5.630082713560851,1.875328480827901,0.7544004659915786,1.5088009319831572,4
W1__ID398_NE__3CT_FP10_2__3CT_W1_cohort2_FP-Trial____12,398,NE,Social,W1,Interaction,57.34000000000003,26,27.206138821067302,2.768129129659943,0.9301674142626796,1.8603348285253591,9
W1__ID398_NE__3CT_FP10_2__3CT_W1_cohort2_FP-Trial____12,398,NE,Social,W1,Outside interaction,242.54025599999852,8,1.9790529123544873,2.456320993127641,0.9301674142626796,1.8603348285253591,9
W1__ID398_NE__3CT_FP11_2__3CT_W1_cohort2_FP-Trial____13,398,NE,Novel,W1,Interaction,32.94,13,23.679417122040075,2.6716354352118903,0.9419035947944809,1.8838071895889619,6
W1__ID398_NE__3CT_FP11_2__3CT_W1_cohort2_FP-Trial____13,398,NE,Novel,W1,Outside interaction,266.90000000000015,22,4.945672536530534,2.848502245306387,0.9419035947944809,1.8838071895889619,6
W1__ID400_NE__3CT_FP13_2__3CT_W1_cohort2_FP-Trial____15,400,NE,Social,W1,Interaction,44.940000000000055,4,5.340453938584774,2.586237471123874,0.7853474306389007,1.5706948612778013,8
W1__ID400_NE__3CT_FP13_2__3CT_W1_cohort2_FP-Trial____15,400,NE,Social,W1,Outside interaction,254.89996799999835,20,4.7077291119942695,2.08853213056037,0.7853474306389007,1.5706948612778013,8
W1__ID400_NE__3CT_FP14_2__3CT_W1_cohort2_FP-Trial____16,400,NE,Novel,W1,Interaction,78.17999999999988,6,4.604758250191872,2.702314036071876,0.904523381480678,1.809046762961356,16
W1__ID400_NE__3CT_FP14_2__3CT_W1_cohort2_FP-Trial____16,400,NE,Novel,W1,Outside interaction,221.65977600000082,21,5.684387229553075,2.2896352012754777,0.904523381480678,1.809046762961356,16
W2__ID376_NE__3CT_FP1_1__3CT_W2-Trial_____3,376,NE,Social,W2,Interaction,59.75999999999996,24,24.09638554216869,3.2557483957866005,0.892560446986507,1.785120893973014,14
W2__ID376_NE__3CT_FP1_1__3CT_W2-Trial_____3,376,NE,Social,W2,Outside interaction,240.12003200000007,10,2.49875029168745,2.2309242863926526,0.892560446986507,1.785120893973014,14
W2__ID376_NE__3CT_FP2_1__3CT_W2-Trial_____4,376,NE,Novel,W2,Interaction,28.34000000000003,5,10.585744530698648,3.749884404831055,0.944209602775386,1.888419205550772,9
W2__ID376_NE__3CT_FP2_1__3CT_W2-Trial_____4,376,NE,Novel,W2,Outside interaction,271.50019199999963,38,8.397784116484171,2.825930427251586,0.944209602775386,1.888419205550772,9
W2__ID372_NE__3CT_FP4_1__3CT_W2-Trial_____6,372,NE,Social,W2,Interaction,46.52000000000004,15,19.346517626827154,3.2522861037563975,0.9655113633790136,1.931022726758027,7
W2__ID372_NE__3CT_FP4_1__3CT_W2-Trial_____6,372,NE,Social,W2,Outside interaction,253.3599040000003,18,4.262710803679491,2.5122821375926487,0.9655113633790136,1.931022726758027,7
W2__ID372_NE__3CT_FP6_1__3CT_W2-Trial_____8,372,NE,Novel,W2,Interaction,71.02000000000001,15,12.67248662348634,2.5760687388583663,0.9538045488226591,1.9076090976453182,9
W2__ID372_NE__3CT_FP6_1__3CT_W2-Trial_____8,372,NE,Novel,W2,Outside interaction,228.86012799999978,22,5.767715029854397,2.9655059838161737,0.9538045488226591,1.9076090976453182,9
W2__ID374_WT__3CT_FP8_1__3CT_W2-Trial____10,374,WT,Social,W2,Interaction,66.26000000000002,22,19.921521279806814,3.4294970355205168,0.9506328947822632,1.9012657895645264,10
W2__ID374_WT__3CT_FP8_1__3CT_W2-Trial____10,374,WT,Social,W2,Outside interaction,233.58000000000013,14,3.5961983046493686,2.242432541394391,0.9506328947822632,1.9012657895645264,10
W2__ID374_WT__3CT_FP9_1__3CT_W2-Trial____11,374,WT,Novel,W2,Interaction,23.079999999999966,10,25.99653379549397,3.6618973130318215,0.9537072262061942,1.9074144524123884,5
W2__ID374_WT__3CT_FP9_1__3CT_W2-Trial____11,374,WT,Novel,W2,Outside interaction,276.80003200000095,28,6.069363460189174,2.8059102876101156,0.9537072262061942,1.9074144524123884,5
W2__ID429_WT__3CT_FP11_1__3CT_W2-Trial____13,429,WT,Social,W2,Interaction,53.89999999999993,7,7.792207792207803,3.525255252296337,1.0170686960395037,2.0341373920790073,13
W2__ID429_WT__3CT_FP11_1__3CT_W2-Trial____13,429,WT,Social,W2,Outside interaction,245.94019199999974,12,2.9275410177772034,3.0468242682058384,1.0170686960395037,2.0341373920790073,13
W2__ID429_WT__3CT_FP12_1__3CT_W2-Trial____14,429,WT,Novel,W2,Interaction,28.139999999999937,11,23.454157782516045,3.5171735026209645,0.9574689705955092,1.9149379411910183,9
W2__ID429_WT__3CT_FP12_1__3CT_W2-Trial____14,429,WT,Novel,W2,Outside interaction,271.7004480000009,20,4.416628713103911,2.73548480920945,0.9574689705955092,1.9149379411910183,9
W2__ID423_NE__3CT_FP14_1__3CT_W2-Trial____16,423,NE,Social,W2,Interaction,33.57999999999993,16,28.58844550327582,3.6350447353854123,0.9794026607603642,1.9588053215207284,11
W2__ID423_NE__3CT_FP14_1__3CT_W2-Trial____16,423,NE,Social,W2,Outside interaction,266.2602879999995,24,5.4082417277337385,2.9540908611958074,0.9794026607603642,1.9588053215207284,11
W2__ID423_NE__3CT_FP15_1__3CT_W2-Trial____17,423,NE,Novel,W2,Interaction,25.519999999999982,9,21.159874608150485,3.3710441444660972,1.0351354942743625,2.070270988548725,13
W2__ID423_NE__3CT_FP15_1__3CT_W2-Trial____17,423,NE,Novel,W2,Outside interaction,274.3203200000012,23,5.030615304035786,2.9233527020897467,1.0351354942743625,2.070270988548725,13
W2__ID463_WT__3CT_FP4_2__3CT_W2_C2-Trial_____6,463,WT,Social,W2,Interaction,40.93999999999995,18,26.38006839276994,2.7915234555109785,0.9052923156208895,1.810584631241779,7
W2__ID463_WT__3CT_FP4_2__3CT_W2_C2-Trial_____6,463,WT,Social,W2,Outside interaction,258.9003839999997,12,2.7809923989915784,2.264910537520294,0.9052923156208895,1.810584631241779,7
