method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_mean_z,mean_absolute_deviation,threshold_z,trial_duration_s,interaction_duration_s,outside_interaction_duration_s,n_interaction_bouts
mean_MAD,W1__ID566_NE__3CT_FP8_3__3CT_W1_C3-Trial____11,566,NE,Novel,W1,Outside interaction,270.6801919999997,62,0.2290525935492172,13.743155612953032,2.3506945928087637,2.187590846660192,2.2746466130775518e-17,0.7912685914290236,1.5825371828580472,299.84019199999966,29.159999999999997,270.6801919999997,7
mean_MAD,W2__ID566_NE__3CT_FP8_3__3CT_W2_C3-Trial____10,566,NE,Novel,W2,Outside interaction,212.02019199999978,50,0.23582659523296748,14.149595713978048,2.13318000803868,1.9709143755678586,-5.3075087638476207e-17,0.77981822489645,1.5596364497929,299.84019199999966,87.8199999999999,212.02019199999978,14
mean_MAD,Preinduction__ID580_NE__3CT_FP12_3__3CT_Preinduction_C3-Trial____14,580,NE,Novel,Preinduction,Outside interaction,282.1599360000003,45,0.1594840168945883,9.569041013675298,2.51311890122959,2.2712616739206,-1.5164310753850343e-17,0.738756574840038,1.477513149680076,299.8399360000003,17.679999999999993,282.1599360000003,4
mean_MAD,W1__ID580_NE__3CT_FP11_3__3CT_W1_C3-Trial____14,580,NE,Novel,W1,Outside interaction,277.8203520000001,45,0.16197517451853197,9.718510471111918,2.731167944609013,2.4815587305712405,-1.137171622982289e-17,0.7278838690135274,1.4557677380270548,299.88035200000013,22.060000000000002,277.8203520000001,4
mean_MAD,W2__ID580_NE__3CT_FP11_3__3CT_W2_C3-Trial____13,580,NE,Novel,W2,Outside interaction,285.3403520000011,64,0.224293548218514,13.45761289311084,2.391970389800353,2.060076063081257,1.5164310753850343e-17,0.784249234932091,1.568498469864182,299.8403520000011,14.499999999999986,285.3403520000011,8
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,Outside interaction,283.1337759999998,58,0.2048501624193365,12.29100974516019,2.5629706680626483,2.270729822439454,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677,299.8397759999998,16.706000000000017,283.1337759999998,4
mean_MAD,W1__ID588_NE__3CT_FP2_3__3CT_W1_C3-Trial_____4,588,NE,Novel,W1,Outside interaction,278.61984000000007,43,0.15433215380498386,9.25992922829903,2.196716461918393,1.8575991490117665,1.895538844231293e-17,0.7086361573836815,1.417272314767363,299.8398400000001,21.220000000000027,278.61984000000007,6
mean_MAD,W2__ID588_NE__3CT_FP2_3__3CT_W2_C3-Trial_____4,588,NE,Novel,W2,Outside interaction,257.8400959999999,50,0.19391863707652365,11.63511822459142,2.322812965171052,2.156709607044505,1.137171622982289e-17,0.7475536015197236,1.4951072030394472,299.88009599999987,42.03999999999998,257.8400959999999,7
mean_MAD,Preinduction__ID590_NE__3CT_FP5_3__3CT_Preinduction_C3-Trial_____7,590,NE,Novel,Preinduction,Outside interaction,239.7002239999987,49,0.2044220033770192,12.265320202621153,2.3142972958174055,2.1126526876696263,1.137171622982289e-17,0.7888644335044733,1.5777288670089467,299.88022399999863,60.17999999999992,239.7002239999987,7
mean_MAD,W2__ID590_NE__3CT_FP5_3__3CT_W2_C3-Trial_____7,590,NE,Novel,W2,Outside interaction,221.05993600000033,31,0.14023346139030798,8.414007683418479,2.2735030226890323,2.0661402474011936,3.79057207660763e-17,0.76732383524083,1.53464767048166,299.87993600000027,78.81999999999995,221.05993600000033,10
mean_MAD,Preinduction__ID533_NE__3CT_FP21_3__3CT_Preinduction_C3-Trial____23,533,NE,Social,Preinduction,Interaction,9.66,7,0.7246376811594203,43.47826086956522,3.804618487163581,3.9841260438298334,4.5492932261551035e-17,0.7072577412778119,1.4145154825556239,299.84051199999885,9.66,290.1805119999988,2
mean_MAD,W1__ID533_NE__3CT_FP23_3__3CT_W1_C3-Trial____27,533,NE,Social,W1,Interaction,34.84000000000003,20,0.5740528128587825,34.44316877152695,3.3231812790767163,3.3176598477958814,0.0,0.742326866759445,1.48465373351889,299.84035199999926,34.84000000000003,265.0003519999992,8
mean_MAD,W2__ID533_NE__3CT_FP19_3__3CT_W2_C3-Trial____21,533,NE,Social,W2,Interaction,76.04000000000002,28,0.36822724881641233,22.09363492898474,2.5829409719096716,2.2232187542535966,3.0328621507700686e-17,0.7615118493154764,1.5230236986309529,299.84031999999934,76.04000000000002,223.80031999999932,8
mean_MAD,Preinduction__ID541_NE__3CT_FP24_3__3CT_Preinduction_C3-Trial____26,541,NE,Social,Preinduction,Interaction,45.699999999999996,15,0.3282275711159738,19.693654266958426,2.5444492705802975,2.097264290447807,0.0,0.7609376965997466,1.5218753931994933,299.84064000000217,45.699999999999996,254.14064000000218,10
mean_MAD,W1__ID541_NE__3CT_FP26_3__3CT_W1_C3-Trial____31,541,NE,Social,W1,Interaction,49.92,19,0.38060897435897434,22.83653846153846,2.8494495819945085,2.1948808907158863,1.5162288306430518e-17,0.7469645546194716,1.4939291092389433,299.88006400000086,49.92,249.96006400000084,8
