method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,analysis_window,interaction_bout_number,trial_mean_z,mean_absolute_deviation,threshold_z
mean_MAD,Preinduction__ID588_NE__3CT_FP1_3__3CT_Preinduction_C3-Trial_____3,588,NE,Social,Preinduction,54,290.67964800000027,2.835882356765589,Outside interaction,,3.791077688462586e-17,0.7352952010955077,1.4705904021910154
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,1,1.800000000000182,2.3694147007951365,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,2,2.360000000000582,2.169293549356931,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,3,3.119999999999891,1.8125481170662836,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,4,4.0,1.6581910413832925,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,5,16.520000000000437,3.384361691806961,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,6,17.23999999999978,2.0308634898974676,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,7,21.199999999999818,1.4960826142844708,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,8,21.720000000000255,2.5334740714662836,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,9,32.64000000000033,2.016087409492552,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,10,41.039999999999964,2.3163271016627185,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,11,46.0,1.8879407936469095,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
